nom,adresse,telephone,site_web,URL Direct
immobilier-NE.ch - La Chaux-de-Fonds - Neuchâtel - Littoral,"Rue du Progrès 2a, 2300 La Chaux-de-Fonds",+41 79 400 14 61,http://www.immobilier-neuchatel.ch/,https://immobilier-neuchatel.ch/nos-biens/
Naef Immobilier Neuchâtel SA,"Rue des Terreaux 9, 2000 Neuchâtel",+41 32 737 27 27,https://www.naef.ch/?utm_source=gmb&utm_medium=organic&utm_campaign=neuchatel,https://www.naef.ch/acheter/appartements-maisons/?sortingField=recent&zoom=8
BARNES | Neuchâtel : Agence immobilière,"Rue du Coq-d'Inde 10, 2000 Neuchâtel",+41 32 723 23 43,https://www.barnes-suisse.ch/p3951-agence-immobiliere-neuchatel.html,https://www.barnes-suisse.ch/p2777-acheter.html?agence_id=180
Palombo Immobilier,"Rue du Puits-Godet 10 a, 2000 Neuchâtel",+41 79 362 62 66,http://www.palombo-immobilier.ch/,https://www.palombo-immobilier.ch/biens-a-vendre/
Wayne | Agence immobilière,"Neuchatel et Colombier, Quai Robert-Comtesse 3, 2000 Neuchâtel",+41 79 609 25 34,https://wayne.ch/,https://www.wayne.ch/#acheter
Littoral-Gérance SA Régie immobilière,"Rte des Falaises 7, 2001 Neuchâtel",+41 32 729 97 20,http://www.littoralgerance.ch/,https://littoralgerance.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
"Ribaux von Kessel, services immobiliers, SA","Rue de la Promenade-Noire 6, 2000 Neuchâtel",+41 32 724 67 41,http://www.rvksa.ch/,https://www.rvksa.ch/rvk/recherche-achats
Régie Immobilière Jouval SA,"Rue de la Raffinerie 1, 2000 Neuchâtel",+41 32 723 08 88,https://jouval.ch/,https://jouval.ch/ventes/?layout=half_map&es_category=19&es=1&search_by=keywords&es_category[2]=19&page_num=1&paged-1=1
Omnia Immobilier Neuchâtel,"Fbg de l'Hôpital 21, 2000 Neuchâtel",+41 32 721 26 26,http://www.omnia.ch/,https://omnia.ch/acheter/
Castoldi Immobilier,"Grand'Rue 63, 2035 Corcelles-Cormondrèche",+41 76 329 16 69,https://castoldi-immobilier.ch/,https://castoldi-immobilier.ch/property-status/a-vendre/
Fidimmobil Agence Immobilière et Commerciale SA,"Fbg de l'Hôpital 13, 2000 Neuchâtel",+41 32 729 00 60,http://www.fidimmobil.ch/,https://vente.fidimmobil.ch/
gpc gérance ppe courtage sa,"Rue du Puits-Godet 10a, 2000 Neuchâtel",+41 32 722 12 00,http://www.gpc.ch/,https://gpc.ch/a-vendre-neuchatel.html
Reysus Gérance SA,"Rue Haute 21B, 2013 Milvignes",+41 32 843 40 40,http://www.reysus.ch/,https://www.reysus.ch/vente
Procité S.A,"Pl. Pury 3, 2000 Neuchâtel",+41 32 724 11 11,http://www.procite.ch/,https://www.procite.ch/biens-a-vendre
Compagnie Immobilière Romande Sàrl,"Chem. des Longues Raies 13, 2013 Colombier",+41 32 845 00 32,http://www.cirgroup.ch/,https://cirgroup.ch/vente-1/
Michel Wolf SA,"Fbg du Lac 9, 2000 Neuchâtel",+41 32 721 44 00,https://www.michelwolfsa.ch/,https://www.michelwolfsa.ch/acheter/
Muller et Christe SA,"Rue de la Treille 3, 2001 Neuchâtel",+41 32 722 16 16,http://www.mulleretchriste.ch/,https://www.mulleretchriste.ch/biens/acheter/
Diatimìs Agence immobilière,"Rue de la Musinière 15, 2072 St Blaise",+41 32 536 06 36,https://diatimis.ch/,https://diatimis.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&categories_not[]=custom_recherche-client&salestypes[]=buy
RT-Immo SA,"Rue de la Société 5, 2013 Colombier",+41 32 756 44 44,http://www.rt-immo.ch/,https://rt-immo.ch/annonces/?layout=list&show_currencies=0&sort=lowest_price&sort-1=lowest_price&page_num=1&paged-1=1
LAFIDU Immobilier Sàrl,"Chem. des Sources 4, 2013 Colombier",+41 32 545 32 93,https://www.lafidu.ch/,https://www.lafidu.ch/acheter/
Naef Immobilier,"Av. Léopold-Robert 62, 2300 La Chaux-de-Fonds",+41 32 910 82 00,https://www.naef.ch/?utm_source=gmb&utm_medium=organic&utm_campaign=la-chaux-de-fonds,https://www.naef.ch/acheter/appartements-maisons/?sortingField=recent&zoom=8
Bolliger Immobilier,"Av. Léopold-Robert 12, 2300 La Chaux-de-Fonds",+41 32 911 90 90,http://www.bolliger-immobilier.ch/,https://vente.bolliger-immobilier.ch/a-vendre
Gérance Ellipsis SA,"Rue de la Serre 15, 2300 La Chaux-de-Fonds",+41 32 925 70 60,http://www.ellipsis-sa.ch/,https://www.ellipsis-sa.ch/index.php/vente/tous/242/alone_category/61-Tous
Pro Immob S.A.,"Av. Léopold-Robert 36, 2300 La Chaux-de-Fonds",+41 32 911 22 00,http://www.proimmob.ch/,https://www.proimmob.ch/a-vendre
Espace et Habitat | Agence Immobilière,"Av. Léopold-Robert 67, 2300 La Chaux-de-Fonds",+41 32 913 77 77,https://www.espace-et-habitat.ch/,https://www.espace-et-habitat.ch/advanced-search-results/?filter_search_type[]=all&submit=Rechercher
Gérance Charles Berset S.A.,"Rue Jardinière 87, 2300 La Chaux-de-Fonds",+41 32 910 92 22,http://www.berset-gerance.ch/,https://berset-gerance.ch/ventes/
Métropole Gérance SA,"Av. Léopold-Robert 70, 2300 La Chaux-de-Fonds",+41 32 968 16 28,https://www.gerance-metropole.ch/,
"Régie Fidimmobil, Agence immobilière Commerciale SA","Av. Léopold-Robert 56, 2300 La Chaux-de-Fonds",+41 32 913 45 75,http://www.fidimmobil.ch/,https://vente.fidimmobil.ch/
Vimova,"Av. Léopold-Robert 40, 2300 La Chaux-de-Fonds",+41 58 123 52 60,https://vimova.ch/agentur/la-chaux-de-fonds/,https://vimova.ch/fr/acheter/
Gérance immobilière Rooslimmo,"Rue de la Prairie 29, 2300 La Chaux-de-Fonds",+41 79 400 71 23,https://rooslimmo.ch/,https://rooslimmo.ch/property/?status=vente&post_type=property&s=
Gérance Bosshart & Gautschi SA,"Av. Léopold-Robert 62, 2300 La Chaux-de-Fonds",+41 32 913 42 00,http://www.gerancebg.ch/index.php/contact,
PIMM,"Rue de la Charrière 90, 2300 La Chaux-de-Fonds",+41 32 913 70 00,http://www.pimm.ch/,https://www.pimm.ch/fr/acheter
"Cité de Beau Site, Société Coopérative à la Chaux de Fonds","Rue des Rosiers 4, 2300 La Chaux-de-Fonds",+41 32 913 08 85,http://www.citedebeausite.ch/,
gérance.ne,"Rue du Pont 25, 2300 La Chaux-de-Fonds",+41 32 889 64 90,http://www.gerance.ne.ch/,
Gérance des immeubles communaux,"Rue de la Serre 23, 2300 La Chaux-de-Fonds",+41 32 967 62 61,,
Gérance Kuenzer,"Rue du Parc 6, 2300 La Chaux-de-Fonds",+41 32 968 75 78,,
Hypoimmo Sa,"Rue du Pont 6, 2400 Le Locle",+41 32 323 48 48,https://hypoimmo.ch/,https://hypoimmo.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
M&M Immobilier Sàrl,"Rue du Progrès 117, 2300 La Chaux-de-Fonds",+41 32 501 70 70,https://www.mm-immobilier.ch/,https://www.mm-immobilier.ch/en-vente
Naspi Gestion SA,"Av. Léopold-Robert 58, 2300 La Chaux-de-Fonds",+41 32 914 70 85,http://www.naspi.ch/,
Fiduciaire-Gérance Raynaud Sàrl,"Rue des Envers 47, 2400 Le Locle",+41 32 933 75 33,http://www.fiduraynaud.ch/,https://www.fiduraynaud.ch/vente/
Gimmobi,"Grande-Rue 18, 2400 Le Locle",+41 79 635 92 41,http://gimmobi.ch/,https://gimmobi.ch/biens-a-vendre/
Apache Immobilier Sàrl,"Av. du Collège 5, 2400 Le Locle",+41 32 931 41 42,https://www.apacheimmobilier.ch/,https://apacheimmobilier.ch/biens-a-vendre
Bureau immobilère E. Peruccio,"Rue de France 29, 2400 Le Locle",+41 32 931 16 16,http://www.peruccio.ch/,
D&C Immo,"Rue des Envers, 2400 Le Locle",+41 32 933 53 12,http://dc-immo.ch/contact,
Thierry Bernardin Safti Immobilier Villers le Lac,"41 Rue du Maréchal Juin, 25130 Villers-le-Lac, France",+33 6 73 57 57 68,https://www.safti.fr/votre-conseiller-safti/thierry-bernardin,
Dial Immobiliers SA,"Rte de la Combe-Girard 4, 2400 Le Locle",+41 79 894 10 20,,
Praesentia,"Rue Girardet 33, 2400 Le Locle",+41 32 931 15 80,https://www.praesentia.ch/index.php/contact,
Fondation La Résidence,"Rue des Billodes 40, 2400 Le Locle",+41 32 933 21 11,http://www.fondationlaresidence.ch/,
Hervé Schick SA,"Rue de la Jambe-Ducommun 6A, 2400 Le Locle",+41 32 910 20 89,,
Agence immobilière Neho,"Rue du Grand-Pré 2A, 1007 Lausanne",+41 21 588 14 14,https://neho.ch/fr?utm_source=SEO&utm_medium=GMB&utm_campaign=CTA&utm_content=Page_locale,https://neho.ch/fr/immobilier
Espace Location,"Av. Léopold-Robert 67, 2300 La Chaux-de-Fonds",+41 32 913 54 26,http://www.espace-location.ch/,
Praesentia Finance SA,"Montperreux 5B, 2400 Le Locle",+41 32 931 15 79,https://yellow.local.ch/d/NFxN22yf8EGQSgv4vb_bQQ,
Perez immo (ex-Régis Boudry immobilier) - Agence immobilière à Bousbecque,"18 Pl. du Général de Gaulle, 59166 Bousbecque, France",+33 3 20 46 16 03,https://www.perezimmo.com/,
Hestia immobilier,"Rte de la Gare 68, 2017 Boudry",+41 79 779 89 35,https://www.immo-hestia.ch/,
Seb'Immo - Sébastien Maire,"Rue des Cèdres 17, 2017 Boudry",+41 79 903 47 77,https://www.sebimmo.ch/,https://www.sebimmo.ch/nos-biens/
"Merse IMMO, Succursale de Cortaillod","Rte de Boudry 22a, 2016 Cortaillod",+41 32 387 84 00,http://www.merseimmo.ch/,https://merseimmo.ch/fr/objets-a-acheter/
C-Lagérance,"Rue du Sentier 3, 2013 Colombier",+41 32 535 31 77,https://c-lagerance.ch/,
A. Gesteam Sàrl,"Av. de la Gare 8, 2013 Colombier",+41 32 841 19 33,http://www.agesteam.ch/,
B2P,"Rue du Château 2, 2013 Colombier",+41 32 841 62 15,https://www.b2p.ch/,
SINE - Salon de l'Immobilier Neuchâtelois,"Patinoires du Littoral, Quai Robert-Comtesse, 2000 Neuenburg",,http://www.sine.ch/,
Sensia Concept SA,"All. du Bied 70, 2013 Neuchâtel",+41 32 755 73 33,,
C-lagérance Christiane Walter,"Rue du Sentier 3, 2013 Colombier",+41 32 535 31 77,https://www.c-lagerance.ch/,
Offidus Régie Immobilière SA,"En, Chem. en Segrin 1, 2016 Cortaillod",+41 32 843 02 92,http://www.offidus.ch/,https://offidus.ch/accueil/locations/vente/
Rotilio Immobilier SA,"Chem. du Canal 12, 2016 Cortaillod",+41 32 722 18 90,http://www.rotilio-immobilier.ch/,https://www.rotilio-immobilier.ch/fr/acheter
"Atrium, conseils et gestion immobilière Sàrl","Rte de l'Areuse 5, 2016 Cortaillod",+41 32 841 70 00,http://www.atrium2016.ch/,https://atrium2016.ch/acheter/
MATimmob Management SA,"Rte de Boudry 22A, 2016 Cortaillod",+41 32 387 84 00,https://merseimmo.ch/,https://merseimmo.ch/fr/objets-a-acheter/
Patrick-Immobilier Sàrl,"Chem. des Jordils 21, 2016 Cortaillod",+41 32 924 44 99,https://www.patrick-immobilier.ch/,https://www.patrick-immobilier.ch/fr/c/objets-vendus-22047
Locations Locaux Perret,"Rte de Boudry 22, 2016 Cortaillod",+41 32 841 58 18,,
Maintenance Immobilière Addor Sàrl,"Rue de la Fin 2, 2016 Cortaillod",+41 32 841 55 89,,
GOimmo | Gaëlle Oggier,"Chem. en Segrin 3, 2016 Cortaillod",+41 76 837 87 38,,
Jnov Concept Sàrl,"Chem. des Landions 4, 2016 Cortaillod",,http://www.jnovconcept.ch/,https://www.jnovconcept.ch/copie-de-a-vendre
PIMM,"Petit-Cortaillod 39, 2016 Cortaillod",+41 32 913 70 00,https://www.pimm.ch/fr/main/index,https://www.pimm.ch/fr/objects/sale
Optigestion Services Immobiliers SA,"Rue du Chasselas 1, 2034 Peseux",+41 32 737 88 00,http://www.optigestionsa.ch/,https://optigestion.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
Agence immobilière LUSA,"Chem. des Carrels 22, 2000 Neuchâtel",+41 78 754 44 92,,
Castel Regie S.A.,"Rue du Château 25, 2034 Peseux",+41 32 731 22 11,,
Metropolis Immobilier SA,"Rue de la Gare 4, 2034 Peseux",+41 32 557 57 40,,
Azimut SA,"Rue Ernest-Roulet 1, 2034 Peseux",+41 32 731 51 09,https://yellow.local.ch/d/ULHpucm7x_Vkz5TPsf22VQ,
Formaspo SA,"Rue de la Gare 4, 2034 Peseux",+41 32 730 28 20,https://yellow.local.ch/d/z3bsfpoj5xLHyLs14B8PhQ,
BZImmobilier Sàrl,"Rte de la Sauge 8, 2042 Valangin",+41 32 545 31 80,http://www.bzimmobilier.ch/,https://www.bzimmobilier.ch/biens/acheter/
Freitas Perea Immobilier Sàrl,"Chem. des Vernets 2, 2035 Corcelles-Cormondrèche",+41 79 382 37 27,https://www.immofp.ch/,https://www.immofp.ch/nos-biens?sortBy=created_at_desc
Mr. Georges Roccarino Bureau immobilère,"Rte de Corteneaux 11, 2034 Peseux",+41 32 731 94 06,,
ImmoPPE,"Rue des Battieux 42, 2000 Neuchâtel",+41 32 757 50 00,http://immoppe.ch/site_web/contact/,
Naef Prestige | Knight Frank - Agence Immobilière Luxe Neuchâtel,"Rue des Terreaux 9, 2001 Neuchâtel",+41 32 737 27 50,https://www.naef-prestige.ch/agence-immobiliere-luxe-neuchatel/?utm_source=gmb&utm_medium=organic&utm_campaign=website-neuchatel,https://www.naef-prestige.ch/vente-immobilier-luxe/all/all/?price_min=0&price_max=100000000&max_rooms=100&buttonid=1&offset=0&min_rooms=0
Wardah Immobilier Sàrl,"Chem. de l'Abbaye 10, 2068 Hauterive",,https://wardahimmobilier.com/,
CGC Immobilier Sàrl,"Rte de Beaumont 14, 2068 Hauterive",+41 79 934 25 23,http://www.cgc-immobilier.ch/,
Marti Gérance et Conseils Sàrl,"Chem. du Verger 9, 2072 St Blaise",+41 79 403 55 75,http://www.martigerance.ch/,https://martigerance.ch/immobilien/?availabilities[]=active&availabilities[]=reserved&availabilities[]=taken&salestype[]=buy
Patrimoine Groupe,"Av. des Pâquiers 16, 2072 St Blaise",+41 32 552 52 52,https://patrimoinegerance.ch/,https://concept-b180.ch/
AMMETIS Sàrl - Gérance immobilière,"Rue du Bassin 10, 2000 Neuchâtel",+41 32 853 79 09,https://ammetis.ch/,https://ammetis.ch/immobilien/?availabilities[]=active&availabilities[]=reserved&availabilities[]=taken&salestype[]=buy
AJA Immobilier Sandrine Junod Antunes,"Rue Paul-Vouga 157, 2074 Marin-Epagnier",+41 76 319 92 42,http://ajaimmobilier.ch/,https://ajaimmobilier.ch/liste-objets/
F. Thorens SA,"Rte de Soleure 12, 2072 St Blaise",+41 32 756 00 56,,
TransaXia Immobilier St-Blaise,"Rue du Franco-Suisse 6, 2072 St Blaise",+41 32 753 00 53,,
TransaXia Immobilier Neuchâtel - Voirol,"Clos doré, Rue du Franco-Suisse 6, 2072 St Blaise",+41 32 753 00 53,,
I-Facchinetti Sàrl,"Rte de Montet 25, 1588 Cudrefin",+41 79 615 33 55,https://yellow.local.ch/d/NbsEGkqjcUnes1HmUwIsSw,
Achat Immobilier,"Rue des Bourguillards, 2072 St Blaise",+41 79 788 42 00,http://www.achat-immobilier.ch/Vente/Appartement/NE/Saint-Blaise/Bourguillards_14/appartement_6_pieces.htm,
Arcolis études et réalisations immobilières Sàrl,"Chem. Fin-d'Epagnier O 4, 2074 Marin-Epagnier",+41 32 753 15 05,,
Agence Immobilière Marin,"37 Rue Georges Clemenceau, 46170 Castelnau-Montratier, France",+33 5 65 21 82 83,http://www.immobilier-marin.com/,
Centrimmo,"Rue Charles-Perrier 1, 2074 Marin-Epagnier",+41 32 724 24 75,,
m&m Anker-Immobilien AG,"Neuenburgstrasse 15, 3236 Gampelen",,http://www.mm-anker-immobilien.ch/,
Squar SA Partenaires Associés,"Av. des Champs-Montants 16B, 2074 Marin-Epagnier",+41 32 732 98 96,http://www.squar.ch/,
Badw House Holding Sàrl,"Rue de Bellevue 7, 2074 Marin-Epagnier",+41 32 845 05 42,http://www.badwhouseholding.com/,
Agence immobilière : Immoglobe Neuchâtel,"Rue du Crêt-de-la-Fin 12B, 2024 Saint-Aubin-Sauges",+41 79 540 45 04,https://agence-immobiliere-immoglobe.ch/,https://agence-immobiliere-immoglobe.ch/fr/ventes
Cr-home Sàrl - Courtage et promotion immobilière - Neuchâtel,"Chem. des Jonchères 11, 2022 Bevaix",+41 79 552 00 31,,
Vauvillers SA,"Chem. des Maladières 22, 2022 Bevaix",+41 32 846 31 20,,
CGC Immobilier Sàrl,"Rue de la Cure, 2022 Bevaix",+41 32 835 24 34,http://www.cgc-immobilier.ch/,
Miremont Habitation AG,2022 Bevaix,+41 32 846 20 36,,
Edil-Etica,"Chem. de Charcottet 50, 2022 Bevaix",+41 79 317 22 89,,
TR Agence immobilière SA,"Av. de la Gare 14, 2114 Fleurier",+41 32 861 65 65,https://tr-immobilier.ch/,https://tr-immobilier.ch/recherche-de-proprietes/
GHB Gérance Sàrl,"Av. de la Gare 3, 2114 Fleurier",+41 32 861 25 56,http://www.ghb-gerance.ch/,https://www.ghb-gerance.ch/properties_status/vente/
Gérance Michel,"Grand-Rue 29, 2114 Fleurier",+41 32 861 60 14,http://www.gerance-michel.ch/,
TransCréa Sàrl,"Grand-Rue 19, 2114 Fleurier",+41 32 861 13 13,http://www.transcrea.ch/,
TransCréa Sàrl,"Rue de l'Arnon 5, 1450 Sainte-Croix",+41 24 454 13 13,http://www.transcrea.ch/,https://www.transcrea.ch/fr/acheter
Fiduciaire & Gérance de l'Areuse,"Grand-Rue 19, 2114 Fleurier",+41 32 554 08 17,http://www.fidareuse.ch/,
GFM Gérance,"Rue du Patinage 2a, 2114 Fleurier",+41 76 571 32 36,http://www.gfmgerance.ch/,
Valimmob Corrado Di Meo,"Rue du Quarre 15, 2113 Boveresse",+41 79 690 02 02,http://www.valimmob.ch/,
N-Office sàrl,"Rue du Patinage 2a, 2114 Fleurier",+41 32 552 31 30,,
Buchs Prospective,"Av. de la Gare 12, 2114 Fleurier",+41 32 861 15 75,,
Fiduciaire Reymond S.A.,"Rue du Pont 5, 2114 Fleurier",+41 32 862 22 00,http://www.fiduciaire-reymond.ch/,
Invimmob S.à r.l.,"Rue du Patinage 4, 2114 Fleurier",+41 32 861 10 56,,
Service des Ponts et Chaussées,"Rue de la Gare 13A, 2108 Couvet",+41 32 889 73 44,,
Val d'Areuse locations,"Grand'Rue 36B, 2108 Couvet",+41 32 863 21 71,https://yellow.local.ch/d/H5TdXPjqBvZHxjrjA4qXhQ,
Société coopérative immobilière de Môtiers,"Rue de l'Arnel 4, 2112 Môtiers",,,
Santadoudou Sarl,"Rue du Bourgeau 3, 2108 Couvet",,,
ViaTerra SA - Immobilier - courtage et promotions,"Pl. Numa-Droz 2, 2000 Neuchâtel",+41 32 566 70 30,http://www.viaterra.ch/,https://www.viaterra.ch/fr/acheter
LGE Immobilier Sa,"Rue de l'Areuse 8E, 2103 Noiraigue",+41 79 500 68 62,http://www.lge-immobilier.ch/,https://www.lge-immobilier.ch/a-propos-de/
Villa Moncalme,"Les Lignières 16, 2105 Travers",+41 32 863 24 07,http://www.villamoncalme.ch/moncalme/fr/index.shtml,
Arnaud & Zbinden Sàrl,"Rue de la Poste 1, 2024 Saint-Aubin-Sauges",+41 32 835 30 05,http://www.arnaud-zbinden.ch/,https://www.arnaud-zbinden.ch/a-vendre
RLS IMMO SA,"Chem. de Fer 8, 2024 Saint-Aubin-Sauges",+41 79 955 82 36,,
RLS IMMO INVEST SA,"Chem. de Fer 8, 2024 Saint-Aubin-Sauges",+41 79 955 82 36,,
L'agence de Saint-Aubin-de-Médoc,"37 Rte de Saint-Médard, 33160 Saint-Aubin-de-Médoc, France",+33 5 57 21 52 36,,
Gérance Cretegny Sàrl,"Rue de la Poste 4, 2024 Saint-Aubin-Sauges",+41 32 724 53 27,https://yellow.local.ch/d/67Uu0F-SZ0Fqx3oSYixE3g,
Expertop SA,"Rue de la Gare 18, 2024 Saint-Aubin-Sauges",+41 32 838 10 10,http://www.expertop.ch/,
Lombard Immobilier⎮Agence immobilière,"Champ de Lune 11, 1470 Estavayer-le-Lac",+41 26 663 14 70,https://www.lombard-sa.ch/,
Immo + Partners Sàrl,"Rue du Temple 10, 2024 Saint-Aubin-Sauges",+41 32 534 53 43,,
"ATTICA Immobilier - agence immobilière - real estate broker - estimation, courtage & promotion - Suisse & International","Av. d'Ouchy 66, 1006 Lausanne",+41 21 616 10 10,http://www.atticaimmobilier.ch/,https://atticaimmobilier.ch/a-vendre-attica-essentiel/
Serenimmo Sàrl,"Rue de la Gare 18, 2024 Saint-Aubin-Sauges",+41 79 280 45 78,,
CGC Immobilier Sàrl,"Rue du Ctre 6, 2023 La Grande Béroche",+41 32 835 24 34,http://www.cgc-immobilier.ch/,
"Corner, société d'implantations industrielles S.A.","Rue du Littoral 50, 2025 Chez-le-Bart",+41 79 210 90 61,,
TERRIER SA,"Rue du, Bois du Pâquier 19, 2053 Cernier",+41 32 853 70 70,http://www.terriersa.ch/,https://www.terriersa.ch/a-vendre.html
Expertissimmo Sàrl,"Rue Henri Calame 3, 2053 Cernier",+41 79 469 57 97,http://www.expertissimmo.ch/,https://www.expertissimmo.ch/
Couceiro Immobilier Sàrl - Votre Partenaire Immobilier au Portugal.,"Crêt Debély 7, 2053 Cernier",,https://www.couceiro-immobilier.com/,
Achats immobiliers,"Rue des Doloires 26, 2063 Saules",+41 79 788 42 00,https://achats-immobiliers.ch/,https://achats-immobiliers.ch/fr/biens
Pearl-Immo,"Rue Frederic Soguel, 2053 Cernier",+41 78 799 57 67,,
Commission foncière agricole,"Rue de l'Aurore 1, 2053 Cernier",+41 32 889 36 80,,
Cabanel immo,"Av. Robert 39, 2052 Fontainemelon",+41 76 776 18 25,https://www.cabanelimmo.ch/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4096116381384896738,https://www.cabanelimmo.ch/properties
votrecourtier.ch I Agence immobilière Lausanne,"Lausanne CH, Rue de Cossonay 5, 1023 Crissier",+41 21 701 26 26,https://www.votrecourtier.ch/,https://votrecourtier.ch/tous-nos-biens/
Gerofinance | Régie du Rhône –Neuchâtel : Agence immobilière,"Rue du Coq-d'Inde 10, 2000 Neuchâtel",+41 32 723 23 53,https://www.gerofinance.ch/soc-183-gerofinance-regie-rhone-neuchatel.html,https://www.barnes-suisse.ch/p2777-acheter.html
KAROL - financement & immobilier,"Av. de la Gare 29, 2000 Neuchâtel",,,
SF Conseils Immo,"Pl. Coquillon 2, 2000 Neuchâtel",+41 32 754 32 20,http://sf-conseils.ch/,
meilleurtaux.ch,"Rue de la Treille 4, 2000 Neuchâtel",+41 32 731 01 01,https://www.meilleurtaux.ch/societe/,
Finex Conseils SA,"Rue J.-L.-Pourtalès 1, 2000 Neuchâtel",+41 32 724 50 00,https://www.finex.ch/,
Neuchâtel Hypothèques,"Av. du Premier-Mars 4, 2000 Neuchâtel",+41 32 552 12 97,https://www.neuchatel-hypotheques.ch/,
KF Immobilier SA,"Rue de Tivoli 6, 2000 Neuchâtel",,,
Mr. Claude Mayor Bureau immobilère,"Rue de la Promenade-Noire 10, 2000 Neuchâtel",+41 32 729 10 20,,
Switzerland | Sotheby's International Realty - Neuchâtel,"Rue des Chavannes 3, 2000 Neuchâtel",+41 32 722 62 80,http://switzerland-sothebysrealty.ch/,https://www.switzerland-sothebysrealty.ch/acheter?precision=13&geoNorthWest[lon]=5.864940000002605&geoNorthWest[lat]=48.355764158475665&geoSouthEast[lon]=10.58714100000256&geoSouthEast[lat]=45.24643170030339
Maillard Immobilier - Agence immobilière - Neuchâtel,"Rue des Moulins 45, 2000 Neuchâtel",+41 32 552 12 35,https://www.maillard-immo.ch/,https://www.maillard-immo.ch/acheter/