name,city,Company Full Url,Url listing
100% Maison,3963 Crans-Montana,https://100maison.com/,https://100maison.com/achetez
123immo.ch,1950 Sion,http://www.123immo.ch,https://123immo.ch/type-de-bien/maison-villageoise/
2S building Sàrl,1994 Aproz (Nendaz),https://www.2sbuilding.ch/,
AB Immobilier,1941 Vollèges,https://www.ab-immobiliermaster.com/en/,
ABC Real Estate Verbier,1936 Verbier,https://schraner-verbier.ch/,https://schraner-verbier.ch/acheter/
ACTIA Sàrl,1950 Sion,https://actia.ch,https://www.actia.ch/a-vendre
ALPIMMIA Immobilier Sàrl,3963 Crans-Montana,https://www.alpimmia.ch/,https://www.alpimmia.ch/vente-immobilier/
AM IMMOGERANCE SARL,1967 Bramois,https://www.amimmogerance.ch/,https://www.amimmogerance.ch/biens-en-vente.html
ANNIMMOB,3961 Grimentz,https://www.annimmob.ch/en,https://www.annimmob.ch/en/immobilier-anniviers-grimentz?recent=true&sale=true
ANZIMOB SA,1972 Anzère,https://anzimob.ch,https://anzimob.ch/immobilier/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
ARC,1936 Verbier,https://thearc.org/,
ARGO Immobilier Sàrl,1975 St-Séverin,https://argo-immobilier.ch/,
ASE SA,1955 St-Pierre-de-Clages,https://asesa.ch,https://www.asesa.ch/vente-biens-immobiliers
Abitasion Sàrl,1950 Sion,https://abitasion.ch/,https://abitasion.ch/immobilien/?availabilities[]=active&availabilities[]=reserved&availabilities[]=taken&salestype[]=buy
Accessimo,1950 Sion,,
Acutim SA,1870 Monthey,https://www.auctim.com/,
Adagi SA,1972 Anzère,https://adagi.ch/en/,https://adagi.ch/en/immobilien/?availabilities[]=active&availabilities[]=reserved&availabilities[]=taken&salestype[]=buy
Adonide Immobilier SA,1950 Sion,https://adonide-immobilier.ch/,https://adonide-immobilier.ch/sale-listings/
Agence Eugster SA,1936 Verbier,https://agence-eugster.ch,https://www.agence-eugster.ch/fr/vente/
Agence IMALP Gérance Sàrl,1950 Sion,http://www.imalp-gerance.ch,https://imalp-vente.ch/properties/lumineux-appartement-de-3-pieces-½-sion/
Agence Immobilière AGIVAL,3963 Crans-Montana,http://agence-agival.ch,https://www.agence-agival.ch/ventes-martigny
Agence Immobilière Barras,3963 Crans-Montana,https://agencebarras.ch,https://agencebarras.ch/sale-listings/
Agence Immobilière Etoile de Saint-Luc Sàrl,3961 St-Luc,https://etoile-immo.ch/,https://etoile-immo.ch/vente/
Agence Immobilière Maytain,1875 Morgins,https://maytain.com,https://www.maytain.com/fr/acheter?price=0-10000000&objectTypes=Apartment-Chalet
Agence L'Exclusif de l'Immobilier,3963 Crans-Montana,https://exclusif.ch,https://www.exclusif.ch/properties-search/?
Agence Les Grillons Sàrl,3963 Crans-Montana,https://www.lesgrillons.ch/,https://www.lesgrillons.ch/fr/acheter
Agence PHI Sàrl - Sion,1950 Sion,https://www.agence-phi.ch/fr/,https://www.agence-phi.ch/fr/ventes
Agence PHI Sàrl - Veysonnaz,1993 Veysonnaz,,
Agence Trachsel SA,1972 Anzère,https://agence-trachsel.ch,https://agence-trachsel.ch/articles/
Agence Viviane Immobilier Sàrl,1978 Lens,https://www.viviane-immobilier.ch/,https://www.viviane-immobilier.ch/site/list?d=sale
Agence du Soleil,3963 Crans-Montana,https://www.agencedusoleil.com/,
Agence immobilière DOMUS,1936 Verbier,https://agencedomus.ch,https://www.agencedomus.ch/fr/achat/
Agence immobilière EVOLENA Sàrl,1983 Evolène,,
Agence immobilière le Valais.ch SA,1964 Conthey,https://levalaisimmobilier.ch,https://levalaisimmobilier.ch/
Agence le Cristal,3963 Crans-Montana,https://lecristal.ch,https://www.lecristal.ch/fr/ventes
Agence-immo.ch,1950 Sion,https://agence-immo.ch,https://www.agence-immo.ch/objets/a-vendre
Alain Deslarzes Gérances SA,1950 Sion,https://immo-adg.ch,https://immo-adg.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved
Alliance Immobilière Romande SA,1920 Martigny,https://www.airsa-immo.com/,
Alp Résidences,1993 Veysonnaz,https://www.alpvisionresidences.com/,
Alp'Architecture SA,1934 Le Châble VS,http://www.alparchitecture.ch,http://www.alparchitecture.ch
Alpeelocation SA,1997 Haute-Nendaz,https://alpeelocation.ch,https://www.alpeelocation.ch/5-location---vente.html
Alpimmo Immobilier SA,1997 Haute-Nendaz,http://www.alpimmo.ch,https://www.alpimmo.ch/fr/o/a-vendre-terrain-a-batir-haute-nendaz-520893
Altitude Immobilier,3963 Crans-Montana,http://altitude-immobilier.ch,
Amandine Vacances,1911 Ovronnaz,https://amandine-vacances.ch,https://amandine-vacances.ch/fr/nos-biens-en-vente
Angela Immobilier SA,3963 Crans-Montana,https://angelaimmobilier.ch/,https://angelaimmobilier.ch/for-sale-results/?property_purpose=Sale&order=ASC&action=rem_search_property&search_property=&property_type=&property_bedrooms=&property_bathrooms=&price_min=&price_max=100000000000#results
Anita Tissot Géobio-Immo Sàrl,1920 Martigny,https://anitatissot-immobilier.ch/,https://anitatissot-immobilier.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
Anniviers Immobilier,3961 Grimentz,https://anniviers-immobilier.ch,https://www.anniviers-immobilier.ch/fr/acheter
Anzère Vacances Sàrl,1972 Anzère,https://anzere-vacances.ch,
Ariane Immobilier,3963 Crans-Montana,https://ariane-immobilier.ch,https://www.ariane-immobilier.ch/a-vendre?post=1&deal=sale&page=1&sort=dd&location=+5&radius_from=0&radius_to=5&style=thumbnail
Au Club Immobilier SA,1938 Champex-Lac,,
Av.de la Gare 46,1920 Martigny,https://www.hotelvictoria.ch/en,
Avanthay & Partners SA,1874 Champéry,https://www.avanthaypartners.com/en,https://www.avanthaypartners.com/to-sale
B2B Immo SA,1897 Bouveret,,
BARNES Ventes | Crans-Montana,3963 Crans-Montana,,
BARNES Ventes | Sion,1950 Sion,https://www.barnes-international.com/,https://www.barnes-international.com/fr/vente/suisse.html?search
BARNES Ventes | Zermatt,3920 Zermatt,,
BARNES | Verbier,1936 Verbier,https://barnes-suisse.com,https://www.barnes-suisse.ch/p2777-acheter.html
BARRAS & SCHEUCHZER Immobilier SA,3963 Crans-Montana,https://www.bs-immobilier.ch/en/buy,https://www.bs-immobilier.ch/en/buy
BAY Invest Sàrl,1950 Sion,,
Bagnes Immobilier Sàrl,1934 Le Châble VS,http://www.bagnesimmobilier.ch,https://bagnesimmobilier.ch/acheter/
BeHome,1955 Chamoson,https://behome.com/?srsltid=AfmBOoo4ZYA_vdlw24qVKFtpUEUKU9hnMMOS9DjVXgmLcQ0Uqt3Gy_td,
Bellis Immo SA,1955 Chamoson,https://bellis-immo.ch,https://bellis-immo.ch/acheter-un-bien/
Beneyton Immo Sàrl,1868 Collombey,https://beneyton.com,
Besson Immobilier SA,1936 Verbier,https://besson.ch,https://besson.ch/fr/acheter
Besta Immobilier SA,1920 Martigny,https://bestazzoni.ch,
Bigot Sàrl,3968 Veyras,https://www.bigot-sarl.fr/,
Bonjour Conseils et Immobilier,1950 Sion,https://bonjour-ci.ch,https://bonjour-ci.ch/biens-immobiliers-a-vendre/
Boson Immo,1926 Fully,https://bosonimmo.ch/fr,https://www.bosonimmo.ch/a-vendre
Bureau Commercial Freddy Michaud SA Immobilier,1936 Verbier,https://allverbier.com,https://www.allverbier.ch/fr/ventes
Bureau d'Architecture Bernard Rey,3963 Crans-Montana,https://bernardarchitecture.ch/,https://bernardarchitecture.ch/vente/
Bureau d'affaires touristiques,3967 Vercorin,https://batimmobilier.ch,https://batimmobilier.ch/fr/sale
Bureau21 SA,3963 Crans-Montana,https://bureau21.ch/,https://bureau21.ch/vente/
C&P Constantin Immobilier Sàrl,3963 Crans-Montana,https://cpcimmo.ch/,https://cpcimmo.ch/immobilien/?availabilities[]=active&availabilities[]=reserved&availabilities[]=taken&salestypes=buy&locations=country_ch
C-service,1870 Monthey,http://www.csdcca.com/,
CASALP SA I Anzère,1972 Anzère,https://agencecasalp.ch/ch/,https://agencecasalp.ch/ch/Recherche
CASALP SA I Crans-Montana,3963 Crans-Montana,https://agencecasalp.ch/ch/,
CASALP SA I Haute-Nendaz,1997 Haute-Nendaz,https://agencecasalp.ch/ch/,
CDE Construction,1870 Monthey,https://cde-construction.ch,https://www.cde-construction.ch/properties
CECIM - Centre de Compétences Immobilières,1950 Sion,http://www.cecim.ch,
CH.HANSTEIN Immobilier Sàrl,3963 Crans-Montana,https://christianehanstein.com/en/,https://christianehanstein.com/en/properties-wallis-crans/
COM'IN Immobilier SA,1950 Sion,https://comin-immo.ch,https://www.comin-immo.ch/a-vendre
Carron Immobilier SA,1950 Sion,https://carron-immobilier.ch,https://www.carron-immobilier.ch/fr/trouvez-votre-bien-a-la-vente-454
Ch.de la Barmète 18,1936 Verbier,https://www.chaletsverbier.ch/en,
Chandolin Jolival Sàrl,3961 Chandolin,https://www.chandolinjolival.ch/en,https://www.chandolinjolival.ch/en/sales
ChateauShares Developments,1923 Les Marécottes,https://www.chateaushares.com/,
Clerver and partners SA,3963 Crans-Montana,https://clever.sa/,
Cobat Construction Sàrl,1950 Sion,https://www.cobatconstructions.fr/,
Constantin Promotion SA,1920 Martigny,https://constantin-promo.ch,https://constantin-promo.ch/vente/
CosyHome Immobilier,1950 Sion,https://www.cosyhomeimmobilier.com/,
Coucou&Co SA,1950 Sion,https://coucounco.ch/en/,
Crans-Montana Real Estate,3963 Crans-Montana,,
Cécile immobilier & architecture,3963 Crans-Montana,https://www.cecile-immobilier.ch/,
DBI Dolorès Bruttin Immobilier Sàrl,1950 Sion,https://dbimmo.ch,
DM-immo.ch,1870 Monthey,https://dm-immo.ch/en/,https://dm-immo.ch/en/for-sales
DP Immob Sàrl,1873 Val-d'Illiez,https://dpimmob.ch,https://dpimmob.ch/acheter-bien-immobilier/
David Immobilier,1936 Verbier,https://www.davidimmo.com/,
Dini & Associés SA,1920 Martigny,https://www.dini-associes.ch,
Divinimmo Sàrl,1950 Sion,https://divinimmo.ch,https://divinimmo.ch/fr/ventes
Domicim Sion,1950 Sion,https://vimova.ch/,https://vimova.ch/fr/acheter/
Drapel Immobilier Sàrl,1890 St-Maurice,https://drapelimmobilier.ch,https://drapelimmobilier.ch/acheter/
Dreamchalet International SA,1997 Haute-Nendaz,https://www.dreamchalet.ch/en,https://www.dreamchalet.ch/to-sale
Décor-Home-Staging Sàrl,3963 Crans-Montana,,
E-IMMOBILIER SA,3960 Sierre,https://eimmobilier.ch,https://www.eimmobilier.ch/fr/a-vendre
EV Real Estate Services SARL,1997 Haute-Nendaz,https://www.evres.ch/,https://www.evres.ch/fr/sales/properties/
Ecluses 5,1997 Haute-Nendaz,,
Edelweiss Swiss Immo Sàrl,1920 Martigny,https://edelweiss.immo,https://edelweiss.immo/
Enotiko Sàrl,1950 Sion,https://www.enotiko.ch/,
Entremont Immobilier,1945 Liddes,https://entremontimmo.ch/,https://entremontimmo.ch/immobilien/?availabilities[]=active&availabilities[]=reserved&availabilities[]=taken&salestype[]=buy
Espace des Remparts 13,1950 Sion,,
Eurolocation et Immobilier SA,1911 Ovronnaz,https://www.eurolocation.ch/,https://www.eurolocation.ch/a-vendre
ExperImmo Conseils SA,1950 Sion,,
FelpImmo,3968 Veyras,,
Follonier FM SA,1958 Uvrier,https://www.follonierfm.ch/,https://www.follonierfm.ch/objets/a-vendre
Foti Immobilier Sàrl,1870 Monthey,https://www.foti-immo.ch/,https://www.foti-immo.ch/vente
G-immobilier Sàrl,1870 Monthey,https://www.gimmobilier.ch/fr,https://www.gimmobilier.ch/a-vendre
GAIA Real Estate SA,3963 Crans-Montana,https://gaiarealestate.ch/,https://gaiarealestate.ch/for-sale/
GF Immobilier Sàrl,1873 Champoussin,https://gfimmobilier.ch,https://gfimmobilier.ch/fr/ACHETER/
GLOBAL IMMOR,1964 Conthey,,
Gaudin Immobilier,3966 Réchy,https://gauvinimmobilier.com/en/,
Gepimmo,1950 Sion,https://gepimmo.ch,https://gepimmo.ch/page/avendre
Gerofinance-Dunand SA - Service Location - Sion,1950 Sion,https://en.gerofinance.ch/,
Getisa Immobilière SA,1920 Martigny,https://www.getisa.ch/,https://www.getisa.ch/fr/a-vendre.html
Giocom Sàrl,1893 Muraz (Collombey),https://giocom.ch/,https://giocom.ch/#biens
Globât Immo Sàrl,1920 Martigny,,
Grand Place 14,3963 Crans-Montana,,
Grand Rue 21,1904 Vernayaz,https://rue21.com/,
Grächmatten 24,3956 Guttet-Feschel,,
HERENS immobilier SA,1982 Euseigne,,
HSI Home Service Immobilier,1895 Vionnaz,http://hsi-immo.ch/,https://hsi-immo.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
High Prod,1955 St-Pierre-de-Clages,https://www.highproduction.cz/,
Holidayservices.ch,3963 Crans-Montana,,
Home2C,1893 Muraz (Collombey),https://home2c.ch/,https://home2c.ch/vente/
I A M Sion,1950 Sion,https://iamsion.com/,
IMMOBILIA Grimentz,3961 Grimentz,https://www.i-g.ch/en/,
IMMOSION SA,1950 Sion,,
IMMOTINO Sàrl,1906 Charrat,https://immotino.ch/,https://immotino.ch/acheter/
IPM Immobilier,1964 Conthey,https://www.ipm-immobilier.com/,
ISELIA Sàrl,1920 Martigny,,
Ideal Living Immobilier SA,1955 Chamoson,https://www.ili.immo/,https://www.ili.immo/annonces/acheter
Iller Constructions,1997 Haute-Nendaz,https://iller-constructions.com,https://www.iller-constructions.com/f/objet-a-vendre.asp
Immo Glad Sàrl,1895 Vionnaz,https://immoglad.ch/,https://immoglad.ch/a-vendre/
Immo Sélec'Sion Sàrl,1950 Sion,,
Immo-Consultant SA,1950 Sion,https://www.ic-groupe.ch/fr,https://www.ic-groupe.ch/a-vendre
Immo-Rhône SA,1868 Collombey,https://immo-rhone.ch,https://immo-rhone.ch/immobilien-vermarktungsart/buy/
Immo-Trading,1950 Sion,https://www.immotrading.at/,
